SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","02808","Charlotte Early Middle College","LEA School","Town: Fringe","9","5","4","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","9","0","8","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","00649","Charlotte Middle School","LEA School","Rural: Fringe","395","195","200","0","6","5","18","0","361","5","0","0","0","0","0","0","0","216","179","0","0","0","0","180","43","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","03343","Charlotte Public Schools Project Success","LEA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","00648","Charlotte Senior High School","LEA School","Town: Fringe","815","417","398","6","5","14","34","1","751","4","0","0","0","0","0","0","0","0","0","212","220","192","191","325","83","13"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","00774","Charlotte Upper Elementary","LEA School","Rural: Fringe","521","259","262","3","2","5","29","0","470","12","0","0","0","0","183","164","174","0","0","0","0","0","0","248","67","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","02812","Galewood Elementary","LEA School","Town: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","05797","Parkview Elementary School","LEA School","Town: Fringe","378","200","178","4","2","9","19","2","325","17","89","95","95","99","0","0","0","0","0","0","0","0","0","187","49","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","04386","Washington Elementary School","LEA School","Town: Fringe","324","146","178","0","0","4","12","0","299","9","84","73","87","80","0","0","0","0","0","0","0","0","0","169","40","<10"
"15 - 16 School Year","23","Eaton RESA","23030","Charlotte Public Schools","09959","Weymouth Child Development Center","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","00000","Administrative Unit","Administrative Unit","Town: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","01060","Eaton Rapids High School","LEA School","Town: Fringe","824","418","406","0","19","6","49","0","734","16","0","0","0","0","0","0","0","0","0","227","240","172","185","269","128","13"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","06202","Eaton Rapids Middle School","LEA School","Town: Fringe","524","281","243","0","6","5","31","0","472","10","0","0","0","0","0","0","178","155","191","0","0","0","0","217","80","<10"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","00803","Greyhound Central Elementary School","LEA School","Town: Fringe","153","77","76","1","0","1","5","0","141","5","153","0","0","0","0","0","0","0","0","0","0","0","0","91","15","<10"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","07672","Greyhound Central Performance Academy","LEA School","Town: Fringe","97","53","44","0","0","1","6","0","87","3","0","0","0","0","0","0","0","0","2","3","6","22","64","50","16","<10"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","08488","Greyhound Intermediate School","LEA School","Town: Fringe","427","210","217","1","2","7","31","0","374","12","0","0","0","121","150","156","0","0","0","0","0","0","0","218","58","<10"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","06026","Lockwood Elementary School","LEA School","Town: Fringe","387","210","177","0","3","5","26","0","341","12","44","153","166","24","0","0","0","0","0","0","0","0","0","191","51","<10"
"15 - 16 School Year","23","Eaton RESA","23050","Eaton Rapids Public Schools","00437","Transportation/Maintenance Building","LEA Non-Instructional Ancillary Facility","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23000","Eaton RESA  - District created from ISD","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23000","Eaton RESA  - District created from ISD","09559","Eaton RESA - Great Start","ISD Unique Education Provider","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23000","Eaton RESA  - District created from ISD","09236","Eaton RESA - Meadowview Offsite","ISD School","Rural: Fringe","57","33","24","0","0","0","2","0","55","0","1","1","1","1","0","2","4","3","6","3","0","0","2","22","57","<10"
"15 - 16 School Year","23","Eaton RESA","23000","Eaton RESA  - District created from ISD","07286","Eaton RESA - Meadowview Onsite","ISD School","Town: Fringe","27","15","12","0","2","0","2","0","23","0","0","0","1","1","0","0","3","0","2","1","2","1","2","11","27","<10"
"15 - 16 School Year","23","Eaton RESA","23000","Eaton RESA  - District created from ISD","00231","Eaton RESA Career Preparation Center","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23000","Eaton RESA  - District created from ISD","02905","Eaton RESA Early On","ISD School","Town: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23000","Eaton RESA  - District created from ISD","01718","Eaton RESA Great Start Readiness Program","ISD Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","00323","C.W. Neff Early Childhood and Kindergarten Center","LEA School","Suburb: Large","415","224","191","0","13","14","34","0","332","22","415","0","0","0","0","0","0","0","0","0","0","0","0","122","46","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","00898","Delta Center Elementary School","LEA School","Suburb: Large","632","296","336","1","55","36","36","1","475","28","0","110","116","94","101","96","115","0","0","0","0","0","0","173","72","41"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","03298","Delta Mills Early Childhood Center","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","02552","Eaton County Youth Facility","LEA School","Rural: Fringe","34","21","13","0","0","9","0","0","22","3","0","0","0","0","0","0","3","1","5","8","9","8","0","14","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","01457","Grand Ledge High School","LEA School","Suburb: Large","1710","882","828","4","41","110","122","3","1413","17","0","0","0","0","0","0","0","0","0","428","470","438","374","390","211","28"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","00318","Kenneth T. Beagle Elementary School","LEA School","Suburb: Large","545","286","259","3","6","11","33","0","474","18","0","75","101","79","83","99","108","0","0","0","0","0","0","243","76","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","05818","Leon W. Hayes Middle School","LEA School","Suburb: Large","793","397","396","10","28","39","44","4","657","11","0","0","0","0","0","0","0","381","412","0","0","0","0","239","96","11"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","01937","T.C. Holbrook","LEA School","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","04323","Wacousta Elementary School","LEA School","Rural: Fringe","474","239","235","2","3","11","33","0","414","11","0","64","87","66","78","84","95","0","0","0","0","0","0","140","75","<10"
"15 - 16 School Year","23","Eaton RESA","23060","Grand Ledge Public Schools","08351","Willow Ridge Elementary School","LEA School","Suburb: Large","513","266","247","5","17","60","22","2","383","24","0","78","88","88","81","84","94","0","0","0","0","0","0","166","72","<10"
"15 - 16 School Year","23","Eaton RESA","23903","Insight School of Michigan","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23903","Insight School of Michigan","02314","Insight School of Michigan","PSA School","Suburb: Large","678","352","326","7","0","95","46","1","501","28","0","0","0","0","0","0","21","51","67","185","123","147","84","428","126","<10"
"15 - 16 School Year","23","Eaton RESA","23901","Island City Academy","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23901","Island City Academy","08322","Island City Academy","PSA School","Rural: Fringe","202","101","101","0","0","0","14","0","185","3","22","21","25","25","26","23","18","24","18","0","0","0","0","34","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23900","LifeTech Academy","00000","Administrative Unit","Administrative Unit","City: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23900","LifeTech Academy","02154","LifeTech Academy","PSA School","City: Midsize","152","62","90","0","0","24","26","0","84","18","0","0","0","0","0","0","0","7","12","55","53","20","5","116","21","<10"
"15 - 16 School Year","23","Eaton RESA","23065","Maple Valley Schools","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23065","Maple Valley Schools","01339","Fuller Street Elementary School","LEA School","Rural: Distant","245","129","116","1","0","1","7","0","232","4","89","67","89","0","0","0","0","0","0","0","0","0","0","146","22","<10"
"15 - 16 School Year","23","Eaton RESA","23065","Maple Valley Schools","02354","Maple Valley Jr/Sr High School","LEA School","Rural: Distant","476","236","240","0","6","9","12","1","445","3","0","0","0","0","0","0","0","77","93","64","84","70","88","200","37","<10"
"15 - 16 School Year","23","Eaton RESA","23065","Maple Valley Schools","07776","Maple Valley Pathways High School","LEA School","Rural: Distant","44","23","21","0","1","0","2","0","41","0","0","0","0","0","0","0","0","0","1","5","9","8","21","27","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23065","Maple Valley Schools","02496","Maplewood School","LEA School","Rural: Distant","280","156","124","0","0","3","7","2","265","3","0","0","0","57","81","79","63","0","0","0","0","0","0","161","32","<10"
"15 - 16 School Year","23","Eaton RESA","23490","Oneida Township S/D #3","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23490","Oneida Township S/D #3","05627","Strange School","LEA School","Rural: Fringe","12","7","5","0","0","0","0","0","12","0","1","5","2","3","1","0","0","0","0","0","0","0","0","1","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23090","Potterville Public Schools","00000","Administrative Unit","Administrative Unit","Rural: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23090","Potterville Public Schools","02923","Adult Ed","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23090","Potterville Public Schools","02170","Potterville Elementary School","LEA School","Rural: Fringe","337","182","155","5","7","19","8","0","291","7","88","55","59","68","67","0","0","0","0","0","0","0","0","167","36","<10"
"15 - 16 School Year","23","Eaton RESA","23090","Potterville Public Schools","03112","Potterville High School","LEA School","Rural: Fringe","264","155","109","2","2","9","14","0","235","2","0","0","0","0","0","0","0","0","0","82","64","61","57","95","40","<10"
"15 - 16 School Year","23","Eaton RESA","23090","Potterville Public Schools","09073","Potterville Middle School","LEA School","Rural: Fringe","275","144","131","4","3","11","15","0","242","0","0","0","0","0","0","64","70","69","72","0","0","0","0","122","28","<10"
"15 - 16 School Year","23","Eaton RESA","23902","Relevant Academy of Eaton County","00000","Administrative Unit","Administrative Unit","Town: Fringe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","23","Eaton RESA","23902","Relevant Academy of Eaton County","00673","Relevant Academy of Eaton County","PSA School","Town: Fringe","107","66","41","0","0","2","3","0","97","5","0","0","0","0","0","0","0","0","0","5","16","30","56","63","11","<10"
"15 - 16 School Year","25","Genesee ISD","25130","Atherton Community Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","25","Genesee ISD","25130","Atherton Community Schools","00139","Atherton Elementary School","LEA School","Suburb: Large","385","188","197","0","0","60","32","0","252","41","47","57","51","51","59","69","51","0","0","0","0","0","0","300","53","<10"
"15 - 16 School Year","25","Genesee ISD","25130","Atherton Community Schools","00138","Atherton Jr. / Sr. High School","LEA School","Suburb: Large","462","243","219","4","0","151","18","0","263","26","0","0","0","0","0","0","0","76","58","94","75","83","76","337","68","<10"
"15 - 16 School Year","25","Genesee ISD","25130","Atherton Community Schools","04275","Atherton Vern Van Y Educational Center","LEA School","Suburb: Large","75","35","40","0","0","17","10","0","41","7","0","0","0","0","0","0","0","0","0","25","27","11","12","49","<10","<10"
